Geneid	HMEC_C3
100287102	0
653635	37
102466751	1
100302278	0
645520	0
79501	0
729737	27
102725121	0
102723897	75
102465909	0
729759	0
100132287	0
105378947	1
101928626	0
102465432	1
81399	0
100133331	1
100288069	20
400728	6
79854	8
643837	38
284593	0
100130417	0
148398	99
26155	1727
339451	453
84069	76
84808	9
57801	130
9636	194
375790	3347
105369174	5
105378948	3
401934	3
54991	299
254099	0
406984	0
406983	0
554210	0
254173	0
8784	0
7293	0
51150	1405
126792	969
388581	7
118424	731
6339	102
116983	796
102465434	0
126789	321
54973	1609
102465435	0
80772	323
83756	135
1855	3518
102466740	0
54587	98
54998	1517
81669	746
148413	83
55052	307
441869	0
643965	0
102724312	0
64856	19
219293	1
83858	837
55210	973
339453	5
29101	1512
643988	36
142678	900
8510	0
984	186
728661	877
8511	2
728642	92
9906	231
65220	920
2782	4496
105378949	7
163688	1
339456	4
85452	3
2563	0
5590	13
100506504	22
199990	868
105378592	11
6497	708
105378594	0
79906	46
100129534	5
11079	3763
5192	247
9651	5
55229	0
388585	0
115110	0
8764	0
100996583	0
127281	1
79258	0
100287898	0
140625	0
440556	0
63976	0
100422968	0
27237	44
1953	68
693135	0
127262	843
49856	271
7161	7
57212	87
148870	0
388588	7
57470	1222
9731	478
1677	136
339448	133
100133612	5
728716	0
284661	0
55966	3155
100616489	0
100616421	0
261734	210
8514	1635
26038	1
6146	2424
102724450	0
388591	112
23463	2717
148645	7
390992	0
387509	984
11332	1391
54626	22
83715	3
100422975	0
8718	291
57449	1520
79707	516
80835	5
3104	223
9903	2063
148479	591
90326	274
55735	316
100505887	0
23261	596
9341	4156
8863	131
10911	0
3604	16
11315	1911
54206	2079
102724539	0
50651	5
473	527
102724552	0
2023	29604
102465436	7
100505975	4
765	3
155184	1
6518	327
80045	211
407040	14
9563	1623
80176	399
100506022	10
84275	0
199953	135
5293	956
644997	1
101929074	19
22883	3226
56998	176
84328	436
64802	427
100847055	0
105376719	0
116362	0
10277	720
23095	1036
100422970	0
5226	2670
100526739	0
378708	14
1325	1
1676	803
5195	235
54897	19
148345	0
23435	327
10747	19
6723	450
5394	1029
2475	956
100873935	3
10218	6
29914	233
57540	0
101929181	0
26232	109
93611	177
26270	55
10459	948
374946	3
57085	636
284498	0
102724659	0
4524	228
1185	323
100379251	2
4878	1
4879	0
26829	317
90231	1543
5351	2997
9927	1568
60672	333
102466982	0
943	0
102465836	0
7133	41
100616438	0
55187	954
677885	8
9249	1872
102466722	4
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	977
7799	325
23254	5
200197	0
55092	162
727684	0
114827	35
101927417	10
79180	3373
11330	0
63036	0
51032	0
842	124
23341	348
79814	63
84301	98
6248	60
23207	1407
284723	13
388595	0
54751	1891
440567	56
729614	49
23013	658
7709	324
101928566	0
149563	0
27129	0
1187	0
1188	1
348487	13
1969	2727
128272	102
101927546	1
79363	38
54455	315
26099	1513
374955	3
55707	813
