Geneid	HMECPIT1_1
100287102	1
653635	60
102466751	0
100302278	0
645520	0
79501	0
729737	19
102725121	0
102723897	53
102465909	0
729759	0
100132287	0
105378947	2
101928626	0
102465432	2
81399	0
100133331	2
100288069	5
400728	9
79854	6
643837	47
284593	0
100130417	0
148398	30
26155	1745
339451	452
84069	82
84808	9
57801	90
9636	155
375790	3361
105369174	10
105378948	3
401934	0
54991	322
254099	0
406984	0
406983	0
554210	0
254173	0
8784	0
7293	4
51150	1432
126792	1043
388581	4
118424	843
6339	85
116983	626
102465434	0
126789	345
54973	1810
102465435	0
80772	313
83756	59
1855	3460
102466740	0
54587	40
54998	1857
81669	508
148413	76
55052	267
441869	0
643965	0
102724312	0
64856	27
219293	0
83858	876
55210	1049
339453	1
29101	1632
643988	26
142678	666
8510	0
984	180
728661	919
8511	1
728642	115
9906	194
65220	895
2782	5353
105378949	12
163688	0
339456	0
85452	0
2563	0
5590	23
100506504	10
199990	801
105378592	5
6497	683
105378594	0
79906	40
100129534	0
11079	4196
5192	287
9651	0
55229	4
388585	0
115110	0
8764	6
100996583	0
127281	3
79258	0
100287898	0
140625	0
440556	0
63976	0
100422968	0
27237	79
1953	114
693135	0
127262	902
49856	270
7161	3
57212	96
148870	0
388588	11
57470	1278
9731	415
1677	128
339448	153
100133612	1
728716	0
284661	0
55966	3354
100616489	0
100616421	0
261734	210
8514	1603
26038	1
6146	2432
102724450	0
388591	109
23463	3298
148645	16
390992	0
387509	967
11332	1409
54626	45
83715	5
100422975	0
8718	226
57449	1220
79707	480
80835	4
3104	213
9903	2031
148479	558
90326	341
55735	268
100505887	0
23261	662
9341	4622
8863	105
10911	3
3604	5
11315	1976
54206	2722
102724539	0
50651	7
473	630
102724552	5
2023	36238
102465436	4
100505975	2
765	0
155184	0
6518	592
80045	224
407040	8
9563	1519
80176	447
100506022	9
84275	0
199953	121
5293	1151
644997	1
101929074	20
22883	3366
56998	152
84328	467
64802	489
100847055	0
105376719	0
116362	0
10277	777
23095	1119
100422970	0
5226	2613
100526739	2
378708	18
1325	0
1676	830
5195	177
54897	7
148345	0
23435	445
10747	16
6723	550
5394	1233
2475	1024
100873935	1
10218	8
29914	263
57540	0
101929181	0
26232	97
93611	158
26270	48
10459	1205
374946	0
57085	675
284498	0
102724659	0
4524	179
1185	271
100379251	1
4878	2
4879	0
26829	490
90231	1675
5351	3455
9927	1746
60672	336
102466982	0
943	0
102465836	0
7133	67
100616438	0
55187	925
677885	5
9249	1463
102466722	1
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	1064
7799	334
23254	1
200197	0
55092	183
727684	1
114827	15
101927417	9
79180	4108
11330	0
63036	0
51032	0
842	149
23341	430
79814	102
84301	85
6248	30
23207	1414
284723	8
388595	1
54751	2059
440567	56
729614	37
23013	635
7709	300
101928566	0
149563	0
27129	0
1187	2
1188	0
348487	23
1969	2468
128272	75
101927546	0
79363	42
54455	367
26099	1723
374955	1
55707	1082
114819	59
26871	23
100126512	22
100126517	0
102724970	0
100133301	0
7195	17
55672	170
84809	79
11209	19
26869	14
729574	0
100126533	6
284729	0
100189045	2
102723383	0
6060	8
11223	0
100500876	0
100189298	1
7193	0
791226	0
9696	58
26870	29
4237	123
23400	624
6390	2770
11240	56
29943	17
51702	50
100616188	0
23569	2
353238	0
55920	1339
55160	120
81569	0
101927876	0
84966	0
127707	0
5081	0
80834	0
8659	156
100616120	0
100302276	0
126917	191
23352	3822
