Geneid	HMECPIT1_3
100287102	0
653635	32
102466751	3
100302278	0
645520	0
79501	0
729737	19
102725121	2
102723897	64
102465909	0
729759	0
100132287	1
105378947	0
101928626	0
102465432	2
81399	0
100133331	0
100288069	13
400728	1
79854	10
643837	44
284593	0
100130417	1
148398	56
26155	1984
339451	530
84069	47
84808	9
57801	131
9636	187
375790	4236
105369174	15
105378948	2
401934	0
54991	377
254099	0
406984	0
406983	0
554210	0
254173	0
8784	0
7293	1
51150	1420
126792	1110
388581	13
118424	839
6339	139
116983	783
102465434	0
126789	348
54973	1944
102465435	0
80772	367
83756	80
1855	3642
102466740	0
54587	66
54998	1560
81669	782
148413	83
55052	301
441869	0
643965	0
102724312	0
64856	36
219293	0
83858	963
55210	1079
339453	4
29101	1685
643988	45
142678	928
8510	7
984	260
728661	1159
8511	1
728642	103
9906	343
65220	1040
2782	5592
105378949	12
163688	1
339456	6
85452	2
2563	0
5590	28
100506504	6
199990	791
105378592	10
6497	846
105378594	4
79906	55
100129534	2
11079	3996
5192	323
9651	2
55229	1
388585	0
115110	0
8764	2
100996583	0
127281	4
79258	0
100287898	0
140625	0
440556	1
63976	0
100422968	0
27237	90
1953	110
693135	0
127262	983
49856	235
7161	4
57212	102
148870	0
388588	2
57470	1475
9731	465
1677	131
339448	149
100133612	2
728716	0
284661	0
55966	3904
100616489	0
100616421	0
261734	306
8514	1881
26038	3
6146	2484
102724450	6
388591	185
23463	3587
148645	17
390992	0
387509	1099
11332	1432
54626	31
83715	5
100422975	0
8718	356
57449	1600
79707	620
80835	3
3104	255
9903	2405
148479	635
90326	334
55735	302
100505887	0
23261	629
9341	4443
8863	121
10911	4
3604	1
11315	1865
54206	2893
102724539	1
50651	20
473	720
102724552	6
2023	37391
102465436	6
100505975	2
765	1
155184	0
6518	600
80045	292
407040	9
9563	1848
80176	482
100506022	10
84275	0
199953	173
5293	1411
644997	0
101929074	16
22883	4088
56998	171
84328	461
64802	455
100847055	0
105376719	0
116362	0
10277	720
23095	1291
100422970	0
5226	2384
100526739	1
378708	19
1325	5
1676	792
5195	214
54897	13
148345	0
23435	528
10747	16
6723	598
5394	1337
2475	1270
100873935	3
10218	5
29914	258
57540	0
101929181	0
26232	113
93611	179
26270	47
10459	1116
374946	0
57085	650
284498	0
102724659	0
4524	256
1185	359
100379251	2
4878	6
4879	2
26829	381
90231	1668
5351	3568
9927	2030
60672	383
102466982	0
943	0
102465836	0
7133	78
100616438	0
55187	1284
677885	4
9249	1419
102466722	4
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	1032
7799	418
23254	1
200197	0
55092	176
727684	3
114827	41
101927417	1
79180	4582
11330	2
63036	1
51032	2
842	153
23341	473
79814	118
84301	98
6248	37
23207	1549
284723	24
388595	0
54751	1996
440567	74
729614	48
23013	781
7709	389
101928566	0
149563	0
27129	1
1187	0
1188	0
348487	18
1969	2926
128272	96
101927546	2
79363	37
54455	386
26099	1801
374955	4
55707	1029
114819	55
26871	28
100126512	19
100126517	0
102724970	0
100133301	0
7195	1
55672	172
84809	91
11209	26
26869	10
729574	0
100126533	10
284729	0
100189045	1
102723383	0
6060	9
11223	4
100500876	0
100189298	8
7193	0
791226	0
9696	78
26870	25
4237	114
23400	717
6390	2708
11240	61
29943	16
51702	38
100616188	0
23569	6
353238	0
55920	1612
55160	104
81569	0
101927876	0
84966	0
127707	0
5081	0
80834	0
8659	159
100616120	0
100302276	0
126917	222
23352	5096
23065	2913
51154	534
246181	3
22977	13
100506730	21
8574	1269
54896	370
832	3241
100532736	0
440574	350
644068	14
4681	37
3362	2
255104	119
54546	0
23252	218
30814	0
5320	0
5322	0
26279	0
64600	0
391013	0
127733	0
101928017	0
127731	0
339505	1
55450	395
79594	423
163933	0
978	975
65018	1212
102464833	0
100861548	55
1650	3202
57576	8
400745	137
50809	3832
8672	1470
100302155	0
1889	3851
100506801	13
84224	216
249	0
5909	10
84196	753
401944	5
3339	1288
23436	0
10136	0
101928043	10
29092	129
998	9416
54361	14
100616433	0
9923	256
2046	0
102466615	0
712	0
714	0
713	0
2048	261
100616391	0
100422914	0
646262	0
729059	0
23028	1822
100422866	1
100616177	5
7798	1736
3352	15
100996511	61
10236	1393
80818	613
148898	55
6920	9
55616	1551
1870	18
101928163	0
3399	827
259283	0
6135	14360
6924	556
100506963	29
57095	900
11313	798
2582	1080
3155	846
2517	339
1269	0
100616492	0
55629	1757
10772	1652
127294	0
58985	16
163702	62
284632	0
57822	4
90529	175
57185	706
